station_0,18600003503,18900009859,fail,157080459130,0
station_1,18600003503,18900009859,success,157080459130,30
station_2,18600003503,18900009859,busy,157080459130,0
station_3,18600003503,18900009859,success,157080459130,30
station_4,18600003503,18900009859,busy,157080459130,0
station_5,18600003503,18900009859,barring,157080459130,30
station_6,18600003503,18900009859,fail,157080459130,0
station_7,18600003503,18900009859,barring,157080459130,30
station_8,18600003503,18900009859,fail,157080459130,0
station_9,18600003503,18900009859,barring,157080459130,30
station_0,18600003503,18900009859,fail,157080459130,0
station_4,18600003503,18900009859,success,157080459130,30
station_8,18611112222,18900009859,fail,157080459130,0
station_9,18600003503,18900009859,barring,157080475130,30
station_0,18611112222,18900009859,fail,157080475130,0
station_4,18611112222,18900009859,success,157080498130,30
